EXP split_seed random_seed neurons soft lambda_in PICP_test MPIW_test RMSE R2 qd_loss NLL alpha loss data h_size bstraps ensemb
154 2 30 100 100.0 5.0 1.0 0.212 0.706 0.997 0.212 0.893 0.05 qd_soft ~yacht [100] 1 1
155 2 30 100 100.0 15.0 1.0 0.789 2.422 0.965 0.789 2.309 0.05 qd_soft ~yacht [100] 1 1
156 2 30 100 100.0 25.0 0.968 0.872 2.331 0.968 0.872 2.37 0.05 qd_soft ~yacht [100] 1 1
157 2 30 100 160.0 5.0 1.0 0.226 0.639 0.998 0.226 0.85 0.05 qd_soft ~yacht [100] 1 1
158 2 30 100 160.0 15.0 1.0 0.611 1.936 0.978 0.611 2.073 0.05 qd_soft ~yacht [100] 1 1
159 2 30 100 160.0 25.0 1.0 0.703 1.585 0.985 0.703 1.932 0.05 qd_soft ~yacht [100] 1 1
160 2 30 100 200.0 5.0 0.968 0.295 1.213 0.991 0.287 1.218 0.05 qd_soft ~yacht [100] 1 1
161 2 30 100 200.0 15.0 1.0 0.992 2.896 0.95 0.992 2.288 0.05 qd_soft ~yacht [100] 1 1
162 2 30 100 200.0 25.0 0.968 0.832 2.792 0.954 0.828 2.25 0.05 qd_soft ~yacht [100] 1 1
163 3 10 50 100.0 5.0 0.935 0.361 2.245 0.98 0.347 1.783 0.05 qd_soft ~yacht [50] 1 1
164 3 10 50 100.0 15.0 0.935 0.447 2.963 0.964 0.417 1.77 0.05 qd_soft ~yacht [50] 1 1
165 3 10 50 100.0 25.0 1.0 1.314 5.38 0.883 1.314 2.962 0.05 qd_soft ~yacht [50] 1 1
166 3 10 50 160.0 5.0 0.968 0.505 3.043 0.963 0.484 1.94 0.05 qd_soft ~yacht [50] 1 1
167 3 10 50 160.0 15.0 0.903 0.827 5.28 0.887 0.921 2.448 0.05 qd_soft ~yacht [50] 1 1
168 3 10 50 160.0 25.0 0.935 0.802 4.568 0.916 0.788 2.361 0.05 qd_soft ~yacht [50] 1 1
169 3 10 50 200.0 5.0 0.968 0.527 2.982 0.964 0.511 1.867 0.05 qd_soft ~yacht [50] 1 1
170 3 10 50 200.0 15.0 0.871 0.745 4.637 0.913 1.239 2.648 0.05 qd_soft ~yacht [50] 1 1
171 3 10 50 200.0 25.0 0.935 1.191 5.586 0.874 1.225 3.032 0.05 qd_soft ~yacht [50] 1 1
172 3 10 75 100.0 5.0 0.903 0.256 1.876 0.986 0.289 1.514 0.05 qd_soft ~yacht [75] 1 1
173 3 10 75 100.0 15.0 0.968 0.757 2.79 0.969 0.749 2.122 0.05 qd_soft ~yacht [75] 1 1
174 3 10 75 100.0 25.0 0.935 0.799 2.741 0.97 0.874 2.449 0.05 qd_soft ~yacht [75] 1 1
175 3 10 75 160.0 5.0 0.968 0.386 1.951 0.985 0.374 1.631 0.05 qd_soft ~yacht [75] 1 1
176 3 10 75 160.0 15.0 0.806 0.588 3.53 0.95 2.318 2.632 0.05 qd_soft ~yacht [75] 1 1
177 3 10 75 160.0 25.0 0.968 0.68 3.647 0.946 0.686 2.176 0.05 qd_soft ~yacht [75] 1 1
178 3 10 75 200.0 5.0 0.935 0.384 2.571 0.973 0.383 1.723 0.05 qd_soft ~yacht [75] 1 1
179 3 10 75 200.0 15.0 0.839 0.582 3.662 0.946 1.628 2.571 0.05 qd_soft ~yacht [75] 1 1
180 3 10 75 200.0 25.0 0.871 0.914 5.61 0.873 1.839 3.343 0.05 qd_soft ~yacht [75] 1 1
181 3 10 100 100.0 5.0 0.903 0.353 1.817 0.987 0.422 1.842 0.05 qd_soft ~yacht [100] 1 1
182 3 10 100 100.0 15.0 0.968 0.849 2.884 0.966 0.874 2.34 0.05 qd_soft ~yacht [100] 1 1
183 3 10 100 100.0 25.0 0.935 0.603 3.549 0.949 0.61 2.507 0.05 qd_soft ~yacht [100] 1 1
184 3 10 100 160.0 5.0 0.935 0.368 2.341 0.978 0.367 1.755 0.05 qd_soft ~yacht [100] 1 1
185 3 10 100 160.0 15.0 0.806 0.467 3.776 0.942 2.157 2.356 0.05 qd_soft ~yacht [100] 1 1
186 3 10 100 160.0 25.0 1.0 1.092 4.004 0.935 1.092 2.473 0.05 qd_soft ~yacht [100] 1 1
187 3 10 100 200.0 5.0 0.968 0.542 2.68 0.971 0.529 1.91 0.05 qd_soft ~yacht [100] 1 1
188 3 10 100 200.0 15.0 0.839 0.412 2.872 0.967 1.412 1.92 0.05 qd_soft ~yacht [100] 1 1
189 3 10 100 200.0 25.0 0.871 1.062 4.945 0.901 1.979 2.958 0.05 qd_soft ~yacht [100] 1 1
190 3 20 50 100.0 5.0 0.935 0.338 1.769 0.987 0.323 1.451 0.05 qd_soft ~yacht [50] 1 1
191 3 20 50 100.0 15.0 0.935 0.424 2.943 0.965 0.402 1.902 0.05 qd_soft ~yacht [50] 1 1
192 3 20 50 100.0 25.0 0.968 0.458 3.182 0.959 0.43 1.7 0.05 qd_soft ~yacht [50] 1 1
193 3 20 50 160.0 5.0 0.903 0.419 2.134 0.982 0.483 1.732 0.05 qd_soft ~yacht [50] 1 1
194 3 20 50 160.0 15.0 0.871 0.806 5.026 0.898 1.291 2.807 0.05 qd_soft ~yacht [50] 1 1
195 3 20 50 160.0 25.0 0.935 0.767 4.357 0.923 0.795 3.019 0.05 qd_soft ~yacht [50] 1 1
196 3 20 50 200.0 5.0 0.806 0.448 2.802 0.968 0.98 2.101 0.05 qd_soft ~yacht [50] 1 1
197 3 20 50 200.0 15.0 0.839 0.505 4.324 0.924 1.508 2.151 0.05 qd_soft ~yacht [50] 1 1
198 3 20 50 200.0 25.0 0.742 0.752 5.715 0.868 6.858 7.546 0.05 qd_soft ~yacht [50] 1 1
199 3 20 75 100.0 5.0 0.871 0.227 2.039 0.983 0.374 1.324 0.05 qd_soft ~yacht [75] 1 1
200 3 20 75 100.0 15.0 0.903 0.501 2.861 0.967 0.672 2.353 0.05 qd_soft ~yacht [75] 1 1
201 3 20 75 100.0 25.0 1.0 1.096 4.433 0.92 1.096 2.844 0.05 qd_soft ~yacht [75] 1 1
202 3 20 75 160.0 5.0 0.871 0.348 2.427 0.976 0.521 1.787 0.05 qd_soft ~yacht [75] 1 1
203 3 20 75 160.0 15.0 0.903 0.648 4.199 0.929 0.831 2.279 0.05 qd_soft ~yacht [75] 1 1
204 3 20 75 160.0 25.0 0.903 0.722 4.368 0.923 1.047 2.68 0.05 qd_soft ~yacht [75] 1 1
