EXP split_seed random_seed neurons soft lambda_in PICP_test MPIW_test RMSE R2 qd_loss NLL alpha loss data h_size bstraps ensemb
135 2 20 100 200.0 25.0 0.95 2.615 5.508 0.173 2.617 3.277 0.05 qd_soft ~protein [100] 1 1
136 2 30 50 100.0 5.0 0.914 2.236 5.182 0.268 2.675 50.541 0.05 qd_soft ~protein [50] 1 1
137 2 30 50 100.0 15.0 0.941 2.429 5.33 0.225 2.531 3.964 0.05 qd_soft ~protein [50] 1 1
138 2 30 50 100.0 25.0 0.949 2.527 5.473 0.183 2.544 4.206 0.05 qd_soft ~protein [50] 1 1
139 2 30 50 160.0 5.0 0.914 2.271 5.237 0.252 2.713 20.586 0.05 qd_soft ~protein [50] 1 1
140 2 30 50 160.0 15.0 0.939 2.476 5.417 0.2 2.599 3.422 0.05 qd_soft ~protein [50] 1 1
141 2 30 50 160.0 25.0 0.953 2.596 5.591 0.148 2.603 3.294 0.05 qd_soft ~protein [50] 1 1
142 2 30 50 200.0 5.0 0.909 2.278 5.284 0.239 2.859 3.355 0.05 qd_soft ~protein [50] 1 1
143 2 30 50 200.0 15.0 0.938 2.492 5.483 0.18 2.635 3.274 0.05 qd_soft ~protein [50] 1 1
144 2 30 50 200.0 25.0 0.949 2.584 5.628 0.136 2.59 3.286 0.05 qd_soft ~protein [50] 1 1
145 2 30 75 100.0 5.0 0.905 2.214 5.165 0.273 2.912 5.339 0.05 qd_soft ~protein [75] 1 1
146 2 30 75 100.0 15.0 0.938 2.441 5.342 0.222 2.593 10.389 0.05 qd_soft ~protein [75] 1 1
147 2 30 75 100.0 25.0 0.951 2.554 5.508 0.173 2.558 3.245 0.05 qd_soft ~protein [75] 1 1
148 2 30 75 160.0 5.0 0.907 2.239 5.262 0.245 2.886 3.83 0.05 qd_soft ~protein [75] 1 1
149 2 30 75 160.0 15.0 0.941 2.461 5.423 0.198 2.549 4.832 0.05 qd_soft ~protein [75] 1 1
150 2 30 75 160.0 25.0 0.951 2.592 5.592 0.147 2.596 3.29 0.05 qd_soft ~protein [75] 1 1
151 2 30 75 200.0 5.0 0.909 2.283 5.282 0.239 2.863 3.354 0.05 qd_soft ~protein [75] 1 1
152 2 30 75 200.0 15.0 0.942 2.521 5.522 0.168 2.598 3.368 0.05 qd_soft ~protein [75] 1 1
153 2 30 75 200.0 25.0 0.949 2.575 5.568 0.155 2.583 3.261 0.05 qd_soft ~protein [75] 1 1
154 2 30 100 100.0 5.0 0.91 2.173 5.166 0.272 2.712 7.552 0.05 qd_soft ~protein [100] 1 1
155 2 30 100 100.0 15.0 0.941 2.442 5.395 0.206 2.539 3.424 0.05 qd_soft ~protein [100] 1 1
156 2 30 100 100.0 25.0 0.95 2.526 5.5 0.175 2.531 3.237 0.05 qd_soft ~protein [100] 1 1
157 2 30 100 160.0 5.0 0.915 2.232 5.186 0.267 2.661 3.634 0.05 qd_soft ~protein [100] 1 1
158 2 30 100 160.0 15.0 0.939 2.443 5.39 0.208 2.576 3.585 0.05 qd_soft ~protein [100] 1 1
159 2 30 100 160.0 25.0 0.949 2.578 5.553 0.159 2.583 3.264 0.05 qd_soft ~protein [100] 1 1
160 2 30 100 200.0 5.0 0.906 2.234 5.184 0.267 2.883 3.797 0.05 qd_soft ~protein [100] 1 1
161 2 30 100 200.0 15.0 0.942 2.511 5.487 0.179 2.577 3.246 0.05 qd_soft ~protein [100] 1 1
162 2 30 100 200.0 25.0 0.947 2.609 5.476 0.182 2.628 3.236 0.05 qd_soft ~protein [100] 1 1
