EXP split_seed random_seed neurons soft lambda_in PICP_test MPIW_test RMSE R2 qd_loss NLL alpha loss data h_size bstraps ensemb
154 2 30 100 100.0 5.0 0.923 3.108 0.007 0.034 3.237 -3.446 0.05 qd_soft ~naval [100] 1 1
155 2 30 100 100.0 15.0 0.948 3.201 0.007 0.018 3.207 -3.447 0.05 qd_soft ~naval [100] 1 1
156 2 30 100 100.0 25.0 0.956 3.241 0.007 0.004 3.251 -3.437 0.05 qd_soft ~naval [100] 1 1
157 2 30 100 160.0 5.0 0.928 3.131 0.007 0.014 3.243 -3.41 0.05 qd_soft ~naval [100] 1 1
158 2 30 100 160.0 15.0 0.949 3.225 0.007 -0.005 3.231 -3.432 0.05 qd_soft ~naval [100] 1 1
159 2 30 100 160.0 25.0 0.959 3.252 0.007 0.01 3.253 -3.45 0.05 qd_soft ~naval [100] 1 1
160 2 30 100 200.0 5.0 1.0 26.601 0.037 -23.6 26.601 -1.976 0.05 qd_soft ~naval [100] 1 1
161 2 30 100 200.0 15.0 0.951 3.201 0.007 0.008 3.222 -3.423 0.05 qd_soft ~naval [100] 1 1
162 2 30 100 200.0 25.0 0.954 3.229 0.007 -0.011 3.237 -3.425 0.05 qd_soft ~naval [100] 1 1
163 3 10 50 100.0 5.0 0.907 3.072 0.008 0.025 3.393 -3.392 0.05 qd_soft ~naval [50] 1 1
164 3 10 50 100.0 15.0 0.941 3.223 0.008 -0.006 3.278 -3.391 0.05 qd_soft ~naval [50] 1 1
165 3 10 50 100.0 25.0 0.966 3.265 0.008 0.006 3.273 -3.409 0.05 qd_soft ~naval [50] 1 1
166 3 10 50 160.0 5.0 0.92 3.104 0.008 0.019 3.267 -3.392 0.05 qd_soft ~naval [50] 1 1
167 3 10 50 160.0 15.0 0.951 3.22 0.008 0.005 3.227 -3.403 0.05 qd_soft ~naval [50] 1 1
168 3 10 50 160.0 25.0 0.951 3.258 0.008 -0.002 3.265 -3.401 0.05 qd_soft ~naval [50] 1 1
169 3 10 50 200.0 5.0 0.92 3.105 0.008 0.001 3.257 -3.38 0.05 qd_soft ~naval [50] 1 1
170 3 10 50 200.0 15.0 0.949 3.24 0.008 -0.008 3.247 -3.397 0.05 qd_soft ~naval [50] 1 1
171 3 10 50 200.0 25.0 0.962 3.257 0.008 0.005 3.261 -3.409 0.05 qd_soft ~naval [50] 1 1
172 3 10 75 100.0 5.0 0.901 3.057 0.007 0.038 3.47 -3.402 0.05 qd_soft ~naval [75] 1 1
173 3 10 75 100.0 15.0 0.951 3.21 0.008 0.01 3.21 -3.408 0.05 qd_soft ~naval [75] 1 1
174 3 10 75 100.0 25.0 0.964 3.278 0.008 0.005 3.282 -3.415 0.05 qd_soft ~naval [75] 1 1
175 3 10 75 160.0 5.0 0.898 3.064 0.008 0.011 3.543 -3.374 0.05 qd_soft ~naval [75] 1 1
176 3 10 75 160.0 15.0 0.941 3.225 0.008 -0.0 3.267 -3.4 0.05 qd_soft ~naval [75] 1 1
177 3 10 75 160.0 25.0 0.963 3.26 0.008 0.0 3.262 -3.409 0.05 qd_soft ~naval [75] 1 1
178 3 10 75 200.0 5.0 0.894 3.074 0.008 -0.007 3.626 -3.365 0.05 qd_soft ~naval [75] 1 1
179 3 10 75 200.0 15.0 0.942 3.209 0.008 0.009 3.251 -3.402 0.05 qd_soft ~naval [75] 1 1
180 3 10 75 200.0 25.0 0.963 3.242 0.008 -0.001 3.247 -3.402 0.05 qd_soft ~naval [75] 1 1
181 3 10 100 100.0 5.0 0.904 3.074 0.008 0.019 3.449 -3.386 0.05 qd_soft ~naval [100] 1 1
182 3 10 100 100.0 15.0 0.936 3.198 0.008 0.013 3.312 -3.406 0.05 qd_soft ~naval [100] 1 1
183 3 10 100 100.0 25.0 0.946 3.251 0.008 -0.005 3.276 -3.398 0.05 qd_soft ~naval [100] 1 1
184 3 10 100 160.0 5.0 0.898 3.09 0.008 0.017 3.581 -3.377 0.05 qd_soft ~naval [100] 1 1
185 3 10 100 160.0 15.0 0.954 3.222 0.008 0.001 3.227 -3.4 0.05 qd_soft ~naval [100] 1 1
186 3 10 100 160.0 25.0 0.946 3.248 0.008 0.007 3.266 -3.411 0.05 qd_soft ~naval [100] 1 1
187 3 10 100 200.0 5.0 0.938 3.152 0.008 0.014 3.187 -3.394 0.05 qd_soft ~naval [100] 1 1
188 3 10 100 200.0 15.0 0.935 3.205 0.008 -0.01 3.335 -3.386 0.05 qd_soft ~naval [100] 1 1
189 3 10 100 200.0 25.0 0.963 3.261 0.008 0.012 3.267 -3.414 0.05 qd_soft ~naval [100] 1 1
190 3 20 50 100.0 5.0 0.898 3.093 0.008 0.011 3.571 -3.381 0.05 qd_soft ~naval [50] 1 1
191 3 20 50 100.0 15.0 0.949 3.211 0.008 0.019 3.213 -3.415 0.05 qd_soft ~naval [50] 1 1
192 3 20 50 100.0 25.0 0.963 3.255 0.008 0.001 3.261 -3.405 0.05 qd_soft ~naval [50] 1 1
193 3 20 50 160.0 5.0 0.909 3.118 0.008 -0.024 3.442 -3.328 0.05 qd_soft ~naval [50] 1 1
194 3 20 50 160.0 15.0 0.945 3.23 0.008 -0.002 3.248 -3.4 0.05 qd_soft ~naval [50] 1 1
195 3 20 50 160.0 25.0 0.949 3.246 0.008 -0.003 3.254 -3.4 0.05 qd_soft ~naval [50] 1 1
196 3 20 50 200.0 5.0 0.915 3.101 0.008 0.007 3.325 -3.379 0.05 qd_soft ~naval [50] 1 1
197 3 20 50 200.0 15.0 0.948 3.214 0.008 -0.008 3.221 -3.392 0.05 qd_soft ~naval [50] 1 1
198 3 20 50 200.0 25.0 0.943 3.236 0.008 -0.008 3.285 -3.394 0.05 qd_soft ~naval [50] 1 1
199 3 20 75 100.0 5.0 0.92 3.085 0.008 0.033 3.247 -3.402 0.05 qd_soft ~naval [75] 1 1
200 3 20 75 100.0 15.0 0.942 3.211 0.008 0.008 3.246 -3.405 0.05 qd_soft ~naval [75] 1 1
201 3 20 75 100.0 25.0 0.945 3.239 0.008 0.01 3.27 -3.409 0.05 qd_soft ~naval [75] 1 1
202 3 20 75 160.0 5.0 0.919 3.123 0.008 0.014 3.295 -3.394 0.05 qd_soft ~naval [75] 1 1
203 3 20 75 160.0 15.0 0.941 3.221 0.008 0.007 3.271 -3.405 0.05 qd_soft ~naval [75] 1 1
204 3 20 75 160.0 25.0 0.965 3.251 0.008 0.004 3.254 -3.407 0.05 qd_soft ~naval [75] 1 1
205 3 20 75 200.0 5.0 0.934 3.141 0.008 0.011 3.197 -3.392 0.05 qd_soft ~naval [75] 1 1
206 3 20 75 200.0 15.0 0.938 3.209 0.008 -0.001 3.285 -3.399 0.05 qd_soft ~naval [75] 1 1
207 3 20 75 200.0 25.0 0.951 3.239 0.008 0.01 3.245 -3.41 0.05 qd_soft ~naval [75] 1 1
208 3 20 100 100.0 5.0 0.906 3.058 0.008 0.027 3.398 -3.386 0.05 qd_soft ~naval [100] 1 1
209 3 20 100 100.0 15.0 0.932 3.21 0.008 0.001 3.385 -3.395 0.05 qd_soft ~naval [100] 1 1
210 3 20 100 100.0 25.0 0.949 3.235 0.008 0.002 3.24 -3.404 0.05 qd_soft ~naval [100] 1 1
211 3 20 100 160.0 5.0 1.0 22.88 0.008 -0.011 22.88 -2.669 0.05 qd_soft ~naval [100] 1 1
212 3 20 100 160.0 15.0 0.946 3.197 0.008 -0.004 3.21 -3.393 0.05 qd_soft ~naval [100] 1 1
213 3 20 100 160.0 25.0 0.966 3.278 0.008 -0.009 3.279 -3.404 0.05 qd_soft ~naval [100] 1 1
214 3 20 100 200.0 5.0 0.903 3.104 0.008 -0.019 3.506 -3.348 0.05 qd_soft ~naval [100] 1 1
215 3 20 100 200.0 15.0 0.97 13.623 0.025 -9.791 13.937 -2.789 0.05 qd_soft ~naval [100] 1 1
216 3 20 100 200.0 25.0 0.959 3.265 0.008 0.003 3.273 -3.408 0.05 qd_soft ~naval [100] 1 1
217 3 30 50 100.0 5.0 0.91 3.069 0.007 0.04 3.356 -3.403 0.05 qd_soft ~naval [50] 1 1
218 3 30 50 100.0 15.0 0.941 3.21 0.008 0.015 3.251 -3.411 0.05 qd_soft ~naval [50] 1 1
219 3 30 50 100.0 25.0 0.962 3.272 0.008 0.002 3.278 -3.408 0.05 qd_soft ~naval [50] 1 1
