EXP dataset split_seed seed n_epoch lr hidden_layers hidden_units dropout wd alpha mse_tr capture_tr width_tr mse_va capture_va width_va mse_te capture_te width_te
107 energy 1 10 5000 0.0001 1 75 0.25 0.001 0.05 0.00927 0.98551 0.09508 0.01377 0.84173 0.09424 0.01808 0.85714 0.1152
108 energy 1 10 5000 0.0001 1 75 0.25 0.01 0.05 0.01415 0.93116 0.13859 0.01493 0.91367 0.13734 0.02055 0.88312 0.15223
109 energy 1 10 5000 0.0001 1 75 0.25 0.1 0.05 0.0595 0.92391 0.51933 0.05578 0.94245 0.51748 0.07407 0.87013 0.5215
110 energy 1 10 5000 0.0001 1 75 0.25 1 0.05 0.13783 0.63949 0.45963 0.11377 0.70504 0.4589 0.17331 0.64935 0.45981
111 energy 1 10 5000 0.0001 1 75 0.5 0 0.05 0.00874 0.99457 0.09 0.01357 0.79856 0.08928 0.02175 0.75325 0.10952
112 energy 1 10 5000 0.0001 1 75 0.5 0.001 0.05 0.00927 0.98551 0.09508 0.01377 0.84173 0.09424 0.01808 0.85714 0.1152
113 energy 1 10 5000 0.0001 1 75 0.5 0.01 0.05 0.01415 0.93116 0.13859 0.01493 0.91367 0.13734 0.02055 0.88312 0.15223
114 energy 1 10 5000 0.0001 1 75 0.5 0.1 0.05 0.0595 0.92391 0.51933 0.05578 0.94245 0.51748 0.07407 0.87013 0.5215
115 energy 1 10 5000 0.0001 1 75 0.5 1 0.05 0.13783 0.63949 0.45963 0.11377 0.70504 0.4589 0.17331 0.64935 0.45981
116 energy 1 10 5000 0.0001 1 75 0.75 0 0.05 0.00874 0.99457 0.09 0.01357 0.79856 0.08928 0.02175 0.75325 0.10952
117 energy 1 10 5000 0.0001 1 75 0.75 0.001 0.05 0.00927 0.98551 0.09508 0.01377 0.84173 0.09424 0.01808 0.85714 0.1152
118 energy 1 10 5000 0.0001 1 75 0.75 0.01 0.05 0.01415 0.93116 0.13859 0.01493 0.91367 0.13734 0.02055 0.88312 0.15223
119 energy 1 10 5000 0.0001 1 75 0.75 0.1 0.05 0.0595 0.92391 0.51933 0.05578 0.94245 0.51748 0.07407 0.87013 0.5215
120 energy 1 10 5000 0.0001 1 75 0.75 1 0.05 0.13783 0.63949 0.45963 0.11377 0.70504 0.4589 0.17331 0.64935 0.45981
121 energy 1 10 5000 0.01 1 100 0.1 0 0.05 0.00946 0.86957 0.07664 0.01333 0.79137 0.07754 0.00987 0.84416 0.08702
122 energy 1 10 5000 0.01 1 100 0.1 0.001 0.05 0.015 0.91486 0.13266 0.01615 0.8705 0.13296 0.02137 0.85714 0.14404
123 energy 1 10 5000 0.01 1 100 0.1 0.01 0.05 0.01678 0.91304 0.15072 0.01642 0.90647 0.15039 0.02302 0.81818 0.16202
124 energy 1 10 5000 0.01 1 100 0.1 0.1 0.05 0.05868 0.95109 0.53338 0.05526 0.96403 0.53176 0.07142 0.93506 0.53623
125 energy 1 10 5000 0.01 1 100 0.1 1 0.05 0.12849 0.69022 0.4707 0.10654 0.7482 0.47011 0.16405 0.66234 0.47109
126 energy 1 10 5000 0.01 1 100 0.25 0 0.05 0.00946 0.86957 0.07664 0.01333 0.79137 0.07754 0.00987 0.84416 0.08702
127 energy 1 10 5000 0.01 1 100 0.25 0.001 0.05 0.015 0.91486 0.13266 0.01615 0.8705 0.13296 0.02137 0.85714 0.14404
128 energy 1 10 5000 0.01 1 100 0.25 0.01 0.05 0.01678 0.91304 0.15072 0.01642 0.90647 0.15039 0.02302 0.81818 0.16202
129 energy 1 10 5000 0.01 1 100 0.25 0.1 0.05 0.05868 0.95109 0.53338 0.05526 0.96403 0.53176 0.07142 0.93506 0.53623
130 energy 1 10 5000 0.01 1 100 0.25 1 0.05 0.12849 0.69022 0.4707 0.10654 0.7482 0.47011 0.16405 0.66234 0.47109
131 energy 1 10 5000 0.01 1 100 0.5 0 0.05 0.00946 0.86957 0.07664 0.01333 0.79137 0.07754 0.00987 0.84416 0.08702
132 energy 1 10 5000 0.01 1 100 0.5 0.001 0.05 0.015 0.91486 0.13266 0.01615 0.8705 0.13296 0.02137 0.85714 0.14404
133 energy 1 10 5000 0.01 1 100 0.5 0.01 0.05 0.01678 0.91304 0.15072 0.01642 0.90647 0.15039 0.02302 0.81818 0.16202
134 energy 1 10 5000 0.01 1 100 0.5 0.1 0.05 0.05868 0.95109 0.53338 0.05526 0.96403 0.53176 0.07142 0.93506 0.53623
135 energy 1 10 5000 0.01 1 100 0.5 1 0.05 0.12849 0.69022 0.4707 0.10654 0.7482 0.47011 0.16405 0.66234 0.47109
136 energy 1 10 5000 0.01 1 100 0.75 0 0.05 0.00946 0.86957 0.07664 0.01333 0.79137 0.07754 0.00987 0.84416 0.08702
137 energy 1 10 5000 0.01 1 100 0.75 0.001 0.05 0.015 0.91486 0.13266 0.01615 0.8705 0.13296 0.02137 0.85714 0.14404
138 energy 1 10 5000 0.01 1 100 0.75 0.01 0.05 0.01678 0.91304 0.15072 0.01642 0.90647 0.15039 0.02302 0.81818 0.16202
139 energy 1 10 5000 0.01 1 100 0.75 0.1 0.05 0.05868 0.95109 0.53338 0.05526 0.96403 0.53176 0.07142 0.93506 0.53623
140 energy 1 10 5000 0.01 1 100 0.75 1 0.05 0.12849 0.69022 0.4707 0.10654 0.7482 0.47011 0.16405 0.66234 0.47109
141 energy 1 10 5000 0.001 1 100 0.1 0 0.05 0.00611 0.9837 0.06201 0.01382 0.82734 0.06203 0.03119 0.68831 0.06855
142 energy 1 10 5000 0.001 1 100 0.1 0.001 0.05 0.00858 0.96739 0.08635 0.01505 0.78417 0.08492 0.02281 0.77922 0.10102
143 energy 1 10 5000 0.001 1 100 0.1 0.01 0.05 0.0145 0.91123 0.13618 0.01417 0.91367 0.13563 0.01984 0.8961 0.14882
144 energy 1 10 5000 0.001 1 100 0.1 0.1 0.05 0.05887 0.94022 0.52555 0.0554 0.94245 0.52377 0.0721 0.88312 0.52797
145 energy 1 10 5000 0.001 1 100 0.1 1 0.05 0.13856 0.625 0.45908 0.11439 0.69784 0.45839 0.17325 0.63636 0.45931
146 energy 1 10 5000 0.001 1 100 0.25 0 0.05 0.00611 0.9837 0.06201 0.01382 0.82734 0.06203 0.03119 0.68831 0.06855
