EXP dataset split_seed seed n_epoch lr hidden_layers hidden_units dropout wd alpha mse_tr capture_tr width_tr mse_va capture_va width_va mse_te capture_te width_te
617 kin8nm 2 10 5000 0.01 1 75 0.75 0.001 0.05 0.05569 0.92759 0.32676 0.06034 0.90508 0.3271 0.05781 0.92683 0.326
418 kin8nm 1 30 5000 0.0001 1 50 0.75 0.01 0.05 0.07404 0.95031 0.48395 0.07397 0.9478 0.48223 0.07561 0.94512 0.48201
60 kin8nm 1 10 5000 0.0001 1 50 0.75 1 0.05 0.23654 0.61285 0.33874 0.22032 0.62847 0.33872 0.23252 0.61098 0.33868
233 kin8nm 1 20 5000 0.0001 1 50 0.5 0.01 0.05 0.07425 0.94353 0.47602 0.07674 0.95051 0.48362 0.07706 0.94146 0.47541
618 kin8nm 2 10 5000 0.01 1 75 0.75 0.01 0.05 0.0804 0.97338 0.56545 0.08236 0.96814 0.56412 0.08145 0.97317 0.56649
419 kin8nm 1 30 5000 0.0001 1 50 0.75 0.1 0.05 0.09807 0.91996 0.58547 0.09851 0.92407 0.58578 0.09883 0.91951 0.58579
61 kin8nm 1 10 5000 0.01 1 75 0.1 0 0.05 0.03509 0.95421 0.2358 0.03931 0.93017 0.23251 0.0391 0.92439 0.23385
234 kin8nm 1 20 5000 0.0001 1 50 0.5 0.1 0.05 0.09927 0.9186 0.57986 0.1023 0.90915 0.58222 0.10076 0.90976 0.58052
619 kin8nm 2 10 5000 0.01 1 75 0.75 0.1 0.05 0.09889 0.9203 0.58482 0.09933 0.91661 0.58494 0.09993 0.92073 0.58593
420 kin8nm 1 30 5000 0.0001 1 50 0.75 1 0.05 0.23571 0.61099 0.33877 0.22777 0.6339 0.33889 0.23337 0.60854 0.33873
62 kin8nm 1 10 5000 0.01 1 75 0.1 0.001 0.05 0.05215 0.96184 0.34316 0.05254 0.96407 0.34267 0.05284 0.9561 0.34613
235 kin8nm 1 20 5000 0.0001 1 50 0.5 1 0.05 0.24037 0.6098 0.33118 0.25765 0.58441 0.33144 0.24299 0.6061 0.33116
421 kin8nm 1 30 5000 0.01 1 75 0.1 0 0.05 0.03381 0.97388 0.23836 0.04004 0.95322 0.24111 0.03712 0.9378 0.23874
620 kin8nm 2 10 5000 0.01 1 75 0.75 1 0.05 0.24877 0.59301 0.32442 0.24734 0.60339 0.32449 0.25548 0.57927 0.32442
63 kin8nm 1 10 5000 0.01 1 75 0.1 0.01 0.05 0.08082 0.97219 0.56345 0.08004 0.97424 0.56584 0.08192 0.97317 0.56297
801 kin8nm 2 20 5000 0.001 1 75 0.1 0 0.05 0.02649 0.98033 0.19205 0.03885 0.89627 0.19678 0.03994 0.88902 0.19802
236 kin8nm 1 20 5000 0.0001 1 50 0.75 0 0.05 0.0333 0.96625 0.2301 0.0438 0.90508 0.22861 0.04531 0.9 0.23126
422 kin8nm 1 30 5000 0.01 1 75 0.1 0.001 0.05 0.05006 0.96676 0.33528 0.05121 0.96407 0.33693 0.05199 0.95122 0.33709
621 kin8nm 2 10 5000 0.001 1 75 0.1 0 0.05 0.0253 0.95947 0.17845 0.03994 0.87797 0.17764 0.04207 0.86707 0.1818
64 kin8nm 1 10 5000 0.01 1 75 0.1 0.1 0.05 0.09711 0.93386 0.61106 0.09369 0.94576 0.61135 0.09722 0.9378 0.61152
802 kin8nm 2 20 5000 0.001 1 75 0.1 0.001 0.05 0.03832 0.97168 0.26635 0.04277 0.95593 0.2724 0.04152 0.9439 0.26948
237 kin8nm 1 20 5000 0.0001 1 50 0.75 0.001 0.05 0.03789 0.95455 0.252 0.04547 0.91729 0.24983 0.04471 0.91463 0.25264
423 kin8nm 1 30 5000 0.01 1 75 0.1 0.01 0.05 0.07896 0.95794 0.52907 0.07861 0.95119 0.5283 0.08128 0.95 0.52734
622 kin8nm 2 10 5000 0.001 1 75 0.1 0.001 0.05 0.03801 0.96998 0.26103 0.04292 0.94576 0.26258 0.04269 0.93659 0.26424
803 kin8nm 2 20 5000 0.001 1 75 0.1 0.01 0.05 0.07494 0.94438 0.47788 0.07665 0.93898 0.47675 0.07607 0.94146 0.47784
238 kin8nm 1 20 5000 0.0001 1 50 0.75 0.01 0.05 0.07425 0.94353 0.47602 0.07674 0.95051 0.48362 0.07706 0.94146 0.47541
65 kin8nm 1 10 5000 0.01 1 75 0.1 1 0.05 0.23772 0.61133 0.33831 0.22121 0.62373 0.33841 0.23342 0.60854 0.33839
424 kin8nm 1 30 5000 0.01 1 75 0.1 0.1 0.05 0.10128 0.90436 0.57396 0.10193 0.90983 0.57376 0.10233 0.9061 0.574
