EXP dataset split_seed seed n_epoch lr hidden_layers hidden_units dropout wd alpha mse_tr capture_tr width_tr mse_va capture_va width_va mse_te capture_te width_te
90 concrete 1 10 5000 0.001 1 75 0.25 1 0.05 0.21814 0.62078 0.40394 0.16145 0.72581 0.40371 0.16725 0.68932 0.40373
91 concrete 1 10 5000 0.001 1 75 0.5 0 0.05 0.01603 0.91363 0.12334 0.04641 0.7043 0.12749 0.08118 0.69903 0.1343
92 concrete 1 10 5000 0.001 1 75 0.5 0.001 0.05 0.02223 0.93387 0.17881 0.04148 0.83871 0.17366 0.05382 0.83495 0.19579
93 concrete 1 10 5000 0.001 1 75 0.5 0.01 0.05 0.04649 0.95142 0.35691 0.04819 0.95699 0.3483 0.04822 0.94175 0.37705
94 concrete 1 10 5000 0.001 1 75 0.5 0.1 0.05 0.08761 0.92848 0.63604 0.08017 0.96237 0.63325 0.07832 0.96117 0.63736
95 concrete 1 10 5000 0.001 1 75 0.5 1 0.05 0.21814 0.62078 0.40394 0.16145 0.72581 0.40371 0.16725 0.68932 0.40373
96 concrete 1 10 5000 0.001 1 75 0.75 0 0.05 0.01603 0.91363 0.12334 0.04641 0.7043 0.12749 0.08118 0.69903 0.1343
97 concrete 1 10 5000 0.001 1 75 0.75 0.001 0.05 0.02223 0.93387 0.17881 0.04148 0.83871 0.17366 0.05382 0.83495 0.19579
98 concrete 1 10 5000 0.001 1 75 0.75 0.01 0.05 0.04649 0.95142 0.35691 0.04819 0.95699 0.3483 0.04822 0.94175 0.37705
99 concrete 1 10 5000 0.001 1 75 0.75 0.1 0.05 0.08761 0.92848 0.63604 0.08017 0.96237 0.63325 0.07832 0.96117 0.63736
100 concrete 1 10 5000 0.001 1 75 0.75 1 0.05 0.21814 0.62078 0.40394 0.16145 0.72581 0.40371 0.16725 0.68932 0.40373
101 concrete 1 10 5000 0.0001 1 75 0.1 0 0.05 0.02405 0.94737 0.20539 0.03763 0.83871 0.20125 0.05402 0.79612 0.22698
