EXP split_seed random_seed neurons soft lambda_in sigma_in PICP_test MPIW_test RMSE alpha h_size epochs lr decay_rate ensemb n_runs
137 2 30 [50] 160.0 5.0 0.2 0.757 0.689 5.512 0.05 [50] 800 0.03 0.98 1 1
138 2 30 [50] 160.0 5.0 0.4 0.796 0.593 4.579 0.05 [50] 800 0.03 0.98 1 1
139 2 30 [50] 160.0 15.0 0.05 0.874 0.811 4.569 0.05 [50] 800 0.03 0.98 1 1
140 2 30 [50] 160.0 15.0 0.2 0.864 0.797 5.166 0.05 [50] 800 0.03 0.98 1 1
141 2 30 [50] 160.0 15.0 0.4 0.854 0.77 4.822 0.05 [50] 800 0.03 0.98 1 1
142 2 30 [50] 160.0 20.0 0.05 0.932 0.863 4.912 0.05 [50] 800 0.03 0.98 1 1
143 2 30 [50] 160.0 20.0 0.2 0.893 0.812 4.956 0.05 [50] 800 0.03 0.98 1 1
144 2 30 [50] 160.0 20.0 0.4 0.942 0.899 4.959 0.05 [50] 800 0.03 0.98 1 1
145 2 30 [75] 160.0 5.0 0.05 0.835 0.672 4.874 0.05 [75] 800 0.03 0.98 1 1
146 2 30 [75] 160.0 5.0 0.2 0.816 0.645 4.657 0.05 [75] 800 0.03 0.98 1 1
147 2 30 [75] 160.0 5.0 0.4 0.796 0.617 4.535 0.05 [75] 800 0.03 0.98 1 1
148 2 30 [75] 160.0 15.0 0.05 0.922 0.866 4.979 0.05 [75] 800 0.03 0.98 1 1
149 2 30 [75] 160.0 15.0 0.2 0.893 0.761 4.605 0.05 [75] 800 0.03 0.98 1 1
150 2 30 [75] 160.0 15.0 0.4 0.845 0.739 4.418 0.05 [75] 800 0.03 0.98 1 1
151 2 30 [75] 160.0 20.0 0.05 0.825 0.786 4.998 0.05 [75] 800 0.03 0.98 1 1
152 2 30 [75] 160.0 20.0 0.2 0.874 0.8 4.674 0.05 [75] 800 0.03 0.98 1 1
153 2 30 [75] 160.0 20.0 0.4 0.903 0.763 4.539 0.05 [75] 800 0.03 0.98 1 1
154 2 30 [100] 160.0 5.0 0.05 0.786 0.671 4.836 0.05 [100] 800 0.03 0.98 1 1
155 2 30 [100] 160.0 5.0 0.2 0.864 0.706 4.342 0.05 [100] 800 0.03 0.98 1 1
156 2 30 [100] 160.0 5.0 0.4 0.748 0.61 4.299 0.05 [100] 800 0.03 0.98 1 1
157 2 30 [100] 160.0 15.0 0.05 0.903 0.834 4.774 0.05 [100] 800 0.03 0.98 1 1
158 2 30 [100] 160.0 15.0 0.2 0.854 0.722 4.542 0.05 [100] 800 0.03 0.98 1 1
159 2 30 [100] 160.0 15.0 0.4 0.825 0.688 4.695 0.05 [100] 800 0.03 0.98 1 1
160 2 30 [100] 160.0 20.0 0.05 0.893 0.85 5.115 0.05 [100] 800 0.03 0.98 1 1
161 2 30 [100] 160.0 20.0 0.2 0.893 0.749 4.641 0.05 [100] 800 0.03 0.98 1 1
162 2 30 [100] 160.0 20.0 0.4 0.825 0.789 4.933 0.05 [100] 800 0.03 0.98 1 1
163 3 10 [50] 160.0 5.0 0.05 0.767 0.647 5.697 0.05 [50] 800 0.03 0.98 1 1
164 3 10 [50] 160.0 5.0 0.2 0.718 0.591 5.872 0.05 [50] 800 0.03 0.98 1 1
165 3 10 [50] 160.0 5.0 0.4 0.689 0.597 5.616 0.05 [50] 800 0.03 0.98 1 1
166 3 10 [50] 160.0 15.0 0.05 0.845 0.786 5.624 0.05 [50] 800 0.03 0.98 1 1
167 3 10 [50] 160.0 15.0 0.2 0.874 0.779 5.368 0.05 [50] 800 0.03 0.98 1 1
168 3 10 [50] 160.0 15.0 0.4 0.796 0.743 5.63 0.05 [50] 800 0.03 0.98 1 1
169 3 10 [50] 160.0 20.0 0.05 0.835 0.817 5.719 0.05 [50] 800 0.03 0.98 1 1
170 3 10 [50] 160.0 20.0 0.2 0.845 0.786 5.516 0.05 [50] 800 0.03 0.98 1 1
171 3 10 [50] 160.0 20.0 0.4 0.874 0.812 5.487 0.05 [50] 800 0.03 0.98 1 1
172 3 10 [75] 160.0 5.0 0.05 0.777 0.661 5.91 0.05 [75] 800 0.03 0.98 1 1
173 3 10 [75] 160.0 5.0 0.2 0.767 0.649 6.075 0.05 [75] 800 0.03 0.98 1 1
174 3 10 [75] 160.0 5.0 0.4 0.709 0.608 5.218 0.05 [75] 800 0.03 0.98 1 1
175 3 10 [75] 160.0 15.0 0.05 0.835 0.811 5.739 0.05 [75] 800 0.03 0.98 1 1
176 3 10 [75] 160.0 15.0 0.2 0.825 0.744 5.483 0.05 [75] 800 0.03 0.98 1 1
177 3 10 [75] 160.0 15.0 0.4 0.796 0.7 5.575 0.05 [75] 800 0.03 0.98 1 1
178 3 10 [75] 160.0 20.0 0.05 0.864 0.808 5.849 0.05 [75] 800 0.03 0.98 1 1
179 3 10 [75] 160.0 20.0 0.2 0.816 0.774 5.499 0.05 [75] 800 0.03 0.98 1 1
180 3 10 [75] 160.0 20.0 0.4 0.825 0.759 5.324 0.05 [75] 800 0.03 0.98 1 1
181 3 10 [100] 160.0 5.0 0.05 0.777 0.632 5.533 0.05 [100] 800 0.03 0.98 1 1
182 3 10 [100] 160.0 5.0 0.2 0.796 0.614 4.978 0.05 [100] 800 0.03 0.98 1 1
183 3 10 [100] 160.0 5.0 0.4 0.738 0.566 5.472 0.05 [100] 800 0.03 0.98 1 1
184 3 10 [100] 160.0 15.0 0.05 0.825 0.721 5.619 0.05 [100] 800 0.03 0.98 1 1
185 3 10 [100] 160.0 15.0 0.2 0.816 0.782 5.774 0.05 [100] 800 0.03 0.98 1 1
