EXP split_seed random_seed neurons soft lambda_in sigma_in PICP_test MPIW_test RMSE alpha h_size epochs lr decay_rate ensemb n_runs
159 2 30 [100] 160.0 15.0 0.4 0.805 0.585 2.635 0.05 [100] 1200 0.016 0.97 1 1
160 2 30 [100] 160.0 20.0 0.05 0.844 0.617 2.87 0.05 [100] 1200 0.016 0.97 1 1
161 2 30 [100] 160.0 20.0 0.2 0.831 0.593 2.827 0.05 [100] 1200 0.016 0.97 1 1
162 2 30 [100] 160.0 20.0 0.4 0.831 0.576 2.665 0.05 [100] 1200 0.016 0.97 1 1
163 3 10 [50] 160.0 5.0 0.05 0.909 0.513 2.569 0.05 [50] 1200 0.016 0.97 1 1
164 3 10 [50] 160.0 5.0 0.2 0.857 0.454 2.614 0.05 [50] 1200 0.016 0.97 1 1
165 3 10 [50] 160.0 5.0 0.4 0.818 0.41 2.196 0.05 [50] 1200 0.016 0.97 1 1
166 3 10 [50] 160.0 15.0 0.05 0.87 0.528 2.625 0.05 [50] 1200 0.016 0.97 1 1
167 3 10 [50] 160.0 15.0 0.2 0.818 0.53 2.748 0.05 [50] 1200 0.016 0.97 1 1
168 3 10 [50] 160.0 15.0 0.4 0.844 0.549 2.532 0.05 [50] 1200 0.016 0.97 1 1
169 3 10 [50] 160.0 20.0 0.05 0.922 0.59 2.675 0.05 [50] 1200 0.016 0.97 1 1
170 3 10 [50] 160.0 20.0 0.2 0.883 0.546 2.755 0.05 [50] 1200 0.016 0.97 1 1
171 3 10 [50] 160.0 20.0 0.4 0.87 0.562 2.486 0.05 [50] 1200 0.016 0.97 1 1
172 3 10 [75] 160.0 5.0 0.05 0.831 0.461 2.51 0.05 [75] 1200 0.016 0.97 1 1
173 3 10 [75] 160.0 5.0 0.2 0.844 0.407 2.231 0.05 [75] 1200 0.016 0.97 1 1
174 3 10 [75] 160.0 5.0 0.4 0.766 0.368 1.974 0.05 [75] 1200 0.016 0.97 1 1
175 3 10 [75] 160.0 15.0 0.05 0.922 0.514 2.646 0.05 [75] 1200 0.016 0.97 1 1
176 3 10 [75] 160.0 15.0 0.2 0.883 0.519 2.753 0.05 [75] 1200 0.016 0.97 1 1
177 3 10 [75] 160.0 15.0 0.4 0.753 0.451 2.718 0.05 [75] 1200 0.016 0.97 1 1
