EXP split_seed random_seed neurons soft lambda_in sigma_in PICP_test MPIW_test RMSE alpha h_size epochs lr decay_rate ensemb n_runs
204 3 20 [75] 160.0 15.0 0.4 0.917 2.042 4.808 0.05 [75] 600 0.002 0.999 1 1
205 3 20 [75] 160.0 20.0 0.05 0.924 2.099 4.85 0.05 [75] 600 0.002 0.999 1 1
206 3 20 [75] 160.0 20.0 0.2 0.926 2.071 4.815 0.05 [75] 600 0.002 0.999 1 1
207 3 20 [75] 160.0 20.0 0.4 0.924 2.089 4.849 0.05 [75] 600 0.002 0.999 1 1
208 3 20 [100] 160.0 5.0 0.05 0.89 1.835 4.691 0.05 [100] 600 0.002 0.999 1 1
209 3 20 [100] 160.0 5.0 0.2 0.887 1.81 4.637 0.05 [100] 600 0.002 0.999 1 1
210 3 20 [100] 160.0 5.0 0.4 0.881 1.818 4.643 0.05 [100] 600 0.002 0.999 1 1
211 3 20 [100] 160.0 15.0 0.05 0.918 2.033 4.795 0.05 [100] 600 0.002 0.999 1 1
212 3 20 [100] 160.0 15.0 0.2 0.915 2.002 4.773 0.05 [100] 600 0.002 0.999 1 1
213 3 20 [100] 160.0 15.0 0.4 0.917 2.01 4.732 0.05 [100] 600 0.002 0.999 1 1
214 3 20 [100] 160.0 20.0 0.05 0.923 2.079 4.848 0.05 [100] 600 0.002 0.999 1 1
215 3 20 [100] 160.0 20.0 0.2 0.923 2.048 4.793 0.05 [100] 600 0.002 0.999 1 1
216 3 20 [100] 160.0 20.0 0.4 0.922 2.062 4.785 0.05 [100] 600 0.002 0.999 1 1
217 3 30 [50] 160.0 5.0 0.05 0.892 1.9 4.799 0.05 [50] 600 0.002 0.999 1 1
218 3 30 [50] 160.0 5.0 0.2 0.89 1.886 4.743 0.05 [50] 600 0.002 0.999 1 1
219 3 30 [50] 160.0 5.0 0.4 0.89 1.9 4.769 0.05 [50] 600 0.002 0.999 1 1
220 3 30 [50] 160.0 15.0 0.05 0.92 2.092 4.887 0.05 [50] 600 0.002 0.999 1 1
221 3 30 [50] 160.0 15.0 0.2 0.922 2.073 4.867 0.05 [50] 600 0.002 0.999 1 1
222 3 30 [50] 160.0 15.0 0.4 0.924 2.096 4.864 0.05 [50] 600 0.002 0.999 1 1
223 3 30 [50] 160.0 20.0 0.05 0.927 2.133 4.925 0.05 [50] 600 0.002 0.999 1 1
224 3 30 [50] 160.0 20.0 0.2 0.927 2.117 4.871 0.05 [50] 600 0.002 0.999 1 1
225 3 30 [50] 160.0 20.0 0.4 0.928 2.145 4.869 0.05 [50] 600 0.002 0.999 1 1
226 3 30 [75] 160.0 5.0 0.05 0.894 1.876 4.739 0.05 [75] 600 0.002 0.999 1 1
227 3 30 [75] 160.0 5.0 0.2 0.889 1.841 4.681 0.05 [75] 600 0.002 0.999 1 1
228 3 30 [75] 160.0 5.0 0.4 0.89 1.852 4.714 0.05 [75] 600 0.002 0.999 1 1
229 3 30 [75] 160.0 15.0 0.05 0.921 2.058 4.848 0.05 [75] 600 0.002 0.999 1 1
230 3 30 [75] 160.0 15.0 0.2 0.92 2.032 4.824 0.05 [75] 600 0.002 0.999 1 1
231 3 30 [75] 160.0 15.0 0.4 0.917 2.031 4.776 0.05 [75] 600 0.002 0.999 1 1
232 3 30 [75] 160.0 20.0 0.05 0.926 2.094 4.866 0.05 [75] 600 0.002 0.999 1 1
233 3 30 [75] 160.0 20.0 0.2 0.925 2.069 4.849 0.05 [75] 600 0.002 0.999 1 1
234 3 30 [75] 160.0 20.0 0.4 0.926 2.093 4.837 0.05 [75] 600 0.002 0.999 1 1
235 3 30 [100] 160.0 5.0 0.05 0.892 1.839 4.708 0.05 [100] 600 0.002 0.999 1 1
236 3 30 [100] 160.0 5.0 0.2 0.885 1.812 4.659 0.05 [100] 600 0.002 0.999 1 1
237 3 30 [100] 160.0 5.0 0.4 0.883 1.817 4.65 0.05 [100] 600 0.002 0.999 1 1
238 3 30 [100] 160.0 15.0 0.05 0.922 2.034 4.818 0.05 [100] 600 0.002 0.999 1 1
239 3 30 [100] 160.0 15.0 0.2 0.918 2.025 4.784 0.05 [100] 600 0.002 0.999 1 1
240 3 30 [100] 160.0 15.0 0.4 0.918 2.02 4.742 0.05 [100] 600 0.002 0.999 1 1
241 3 30 [100] 160.0 20.0 0.05 0.924 2.068 4.842 0.05 [100] 600 0.002 0.999 1 1
242 3 30 [100] 160.0 20.0 0.2 0.92 2.061 4.801 0.05 [100] 600 0.002 0.999 1 1
243 3 30 [100] 160.0 20.0 0.4 0.925 2.062 4.766 0.05 [100] 600 0.002 0.999 1 1
